timestamp,mote_id,has_fault_type,temperature,light
'2004-02-29T00:00:00',1,0,19.26,45.0800
'2004-02-29T00:00:30',1,0,19.25,45.0800
'2004-02-29T00:01:00',1,0,19.25,45.0800
'2004-02-29T00:01:30',1,0,19.2436,45.08
'2004-02-29T00:02:00',1,0,19.24,45.0800
'2004-02-29T00:02:30',1,0,19.23,45.0800
'2004-02-29T00:03:00',1,0,19.224,45.08
'2004-02-29T00:03:30',1,0,19.2142,45.08
'2004-02-29T00:04:00',1,0,19.20,45.0800
'2004-02-29T00:04:30',1,0,19.1848,45.08
'2004-02-29T00:05:00',1,0,19.19,45.0800
'2004-02-29T00:05:30',1,0,19.1946,45.08
'2004-02-29T00:06:00',1,0,19.18,45.0800
'2004-02-29T00:06:30',1,0,19.175,45.08
'2004-02-29T00:07:00',1,0,19.1848,45.08
'2004-02-29T00:07:30',1,0,19.18,45.0800
'2004-02-29T00:08:00',1,0,19.1848,45.08
'2004-02-29T00:08:30',1,0,19.175,45.08
'2004-02-29T00:09:00',1,0,19.17,45.0800
'2004-02-29T00:09:30',1,0,19.16,45.0800
'2004-02-29T00:10:00',1,0,19.1554,45.08
'2004-02-29T00:10:30',1,0,19.1554,45.08
'2004-02-29T00:11:00',1,0,19.15,45.0800
'2004-02-29T00:11:30',1,0,19.14,45.0800
'2004-02-29T00:12:00',1,0,19.13,45.0800
'2004-02-29T00:12:30',1,0,19.126,45.08
'2004-02-29T00:13:00',1,0,19.1456,45.08
'2004-02-29T00:13:30',1,0,19.126,45.08
'2004-02-29T00:14:00',1,0,19.13,45.0800
'2004-02-29T00:14:30',1,0,19.13,45.0800
'2004-02-29T00:15:00',1,0,19.1358,45.08
'2004-02-29T00:15:30',1,0,19.1358,45.08
'2004-02-29T00:16:00',1,0,19.1162,43.24
'2004-02-29T00:16:30',1,0,19.1064,43.24
'2004-02-29T00:17:00',1,0,19.1162,43.24
'2004-02-29T00:17:30',1,0,19.1162,43.24
'2004-02-29T00:18:00',1,0,19.1064,43.24
'2004-02-29T00:18:30',1,0,19.1064,43.24
'2004-02-29T00:19:00',1,0,19.1064,43.24
'2004-02-29T00:19:30',1,0,19.11,43.2400
'2004-02-29T00:20:00',1,0,19.12,43.2400
'2004-02-29T00:20:30',1,0,19.126,43.24
'2004-02-29T00:21:00',1,0,19.1162,43.24
'2004-02-29T00:21:30',1,0,19.1064,43.24
'2004-02-29T00:22:00',1,0,19.1064,43.24
'2004-02-29T00:22:30',1,0,19.11,43.2400
'2004-02-29T00:23:00',1,0,19.1064,43.24
'2004-02-29T00:23:30',1,0,19.1064,43.24
'2004-02-29T00:24:00',1,0,19.0868,43.24
'2004-02-29T00:24:30',1,0,19.0868,43.24
'2004-02-29T00:25:00',1,0,19.077,43.24
'2004-02-29T00:25:30',1,0,19.08,43.2400
'2004-02-29T00:26:00',1,0,19.0868,43.24
'2004-02-29T00:26:30',1,0,19.077,43.24
'2004-02-29T00:27:00',1,0,19.08,43.2400
'2004-02-29T00:27:30',1,0,19.08,43.2400
'2004-02-29T00:28:00',1,0,19.077,43.24
'2004-02-29T00:28:30',1,0,19.0868,43.24
'2004-02-29T00:29:00',1,0,19.09,43.2400
'2004-02-29T00:29:30',1,0,19.0868,43.24
'2004-02-29T00:30:00',1,0,19.0672,43.24
'2004-02-29T00:30:30',1,0,19.0574,43.24
'2004-02-29T00:31:00',1,0,19.06,43.2400
'2004-02-29T00:31:30',1,0,19.0672,43.24
'2004-02-29T00:32:00',1,0,19.06,43.2400
'2004-02-29T00:32:30',1,0,19.06,43.2400
'2004-02-29T00:33:00',1,0,19.0574,43.24
'2004-02-29T00:33:30',1,0,19.06,43.2400
'2004-02-29T00:34:00',1,0,19.0574,43.24
'2004-02-29T00:34:30',1,0,19.0574,43.24
'2004-02-29T00:35:00',1,0,19.05,43.2400
'2004-02-29T00:35:30',1,0,19.0476,43.24
